ID;Tipo;SKU;Nombre;Publicado;¿Está destacado?;Visibilidad en el catálogo;Descripción corta;Descripción;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Estado del impuesto;Clase de impuesto;¿En inventario?;Inventario;Cantidad de bajo inventario;¿Permitir reservas de productos agotados?;¿Vendido individualmente?;Peso (kg);Longitud (cm);Anchura (cm);Altura (cm);¿Permitir valoraciones de clientes?;Nota de compra;Precio rebajado;Precio normal;Categorías;Etiquetas;Clase de envío;Imágenes;Límite de descargas;Días de caducidad de la descarga;Superior;Productos agrupados;Ventas dirigidas;Ventas cruzadas;URL externa;Texto del botón;Posición
3741;simple;206;LENT. Protector Doncella clasico 30x20u;1;0;visible;LENT. Protector Doncella clasico 30x20u;;;;taxable;;1;;;0;0;;;;;1;;;1230;Perfumeria;;;;;;;;;;;;0
3742;simple;207;LENT. Protector Doncella Pocket 30x20u;1;0;visible;LENT. Protector Doncella Pocket 30x20u;;;;taxable;;1;;;0;0;;;;;1;;;1410;Perfumeria;;;;;;;;;;;;0
3743;simple;208;LENT. Protector Doncella Duo 30x20u;1;0;visible;Protector Doncella Duo 30x20u;;;;taxable;;1;;;0;0;;;;;1;;;1600;Perfumeria;;;;;;;;;;;;0
3744;simple;209;Prestobarba x20;1;0;visible;Prestobarba x20;;;;taxable;;1;;;0;0;;;;;1;;;1375;Perfumeria;;;;;;;;;;;;0
3745;simple;212;Indutex Rejilla Simple x12;1;0;visible;Indutex Rejilla Simple x12;;;;taxable;;1;;;0;0;;;;;1;;;500;Limpieza;;;;;;;;;;;;0
3746;simple;213;Rejilla Vistex doble x12;1;0;visible;Rejilla Vistex doble x12;;;;taxable;;1;;;0;0;;;;;1;;;790;Limpieza;;;;;;;;;;;;0
3747;simple;216;Indutex Rejilla liviana x12;1;0;visible;Indutex Rejilla liviana;;;;taxable;;1;;;0;0;;;;;1;;;800;Textil;;;;;;;;;;;;0
3748;simple;218;Indutex Rejilla super pabilo x12;1;0;visible;Indutex Rejilla super pabilo x12;;;;taxable;;1;;;0;0;;;;;1;;;800;Textil;;;;;;;;;;;;0
3749;simple;219;Indutex Rejilla triple profesional x12;1;0;visible;Indutex Rejilla triple profesional x12;;;;taxable;;1;;;0;0;;;;;1;;;1998;Textil;;;;;;;;;;;;0
3750;simple;223;Repelente Off aerosol x12;1;0;visible;Repelente Off aerosol x12;;;;taxable;;1;;;0;0;;;;;1;;;2350;Pesticidas;;;;;;;;;;;;0
3751;simple;224;NUVIA Rulito x25;1;0;visible;NUVIA Rulito x25;;;;taxable;;1;;;0;0;;;;;1;;;850;Limpieza;;;;;;;;;;;;0
3752;simple;226;Hadibell SAVIA Vegetal 930ml x12;1;0;visible;Hadibell SAVIA Vegetal 930ml x12;;;;taxable;;1;;;0;0;;;;;1;;;1790;Perfumeria;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/226.jpeg;;;;;;;;;0
3753;simple;228;DS Secador Enzo Plus x12;1;0;visible;DS Secador Enzo Plus x12;;;;taxable;;1;;;0;0;;;;;1;;;1490;Bazar;;;;;;;;;;;;0
3754;simple;230;Secador Sec-Rap plástico y goma x12;1;0;visible;Secador Sec-Rap pl?stico y goma x12;;;;taxable;;1;;;0;0;;;;;1;;;1330;Bazar;;;;;;;;;;;;0
3755;simple;231;Secador Sec-Rap 30cm negro x12;1;0;visible;Secador Sec-Rap 30cm negro x12;;;;taxable;;1;;;0;0;;;;;1;;;890;Bazar;;;;;;;;;;;;0
3756;simple;232;Secador Sec-Rap 50cm negro x12;1;0;visible;Secador Sec-Rap 50cm negro x12;;;;taxable;;1;;;0;0;;;;;1;;;1200;Bazar;;;;;;;;;;;;0
3757;simple;233;Secador Sec-Rap 40cm rojo x12;1;0;visible;Secador Sec-Rap 40cm rojo x12;;;;taxable;;1;;;0;0;;;;;1;;;1280;Limpieza;;;;;;;;;;;;0
3758;simple;234;Secador Sec-Rap 40cm blanco x12;1;0;visible;Secador Sec-Rap 40cm blanco x12;;;;taxable;;1;;;0;0;;;;;1;;;1210;Limpieza;;;;;;;;;;;;0
3759;simple;235;Sopapa Sec-Rap goma N (24);1;0;visible;Sopapa Sec-Rap goma N (24);;;;taxable;;1;;;0;0;;;;;1;;;59;Limpieza;;;;;;;;;;;;0
3760;simple;246;Secador Se-Car Limpiavidrios;1;0;visible;Secador Se-Car Limpiavidrios;;;;taxable;;1;;;0;0;;;;;1;;;145;Bazar;;;;;;;;;;;;0
3761;simple;248;Esencial Suav. 900ml Rocio matinal x16;1;0;visible;Esencial Suav. 900ml Rocio matinal x16;;;;taxable;;1;;;0;0;;;;;1;;;1095;Limpieza;;;http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_161.png, http://c2390850.ferozo.com/wp-content/uploads/2021/11/Screenshot_161.png;;;;;;;;;0
3762;simple;250;LENT. Toalla Doncella Pocket X50;1;0;visible;LENT. Toalla Doncella Pocket X50;;;;taxable;;1;;;0;0;;;;;1;;;1800;Perfumeria;;;;;;;;;;;;0
3763;simple;251;LENT. Toalla Doncella ultrafina 50x8u;1;0;visible;LENT. Toalla Doncella ultrafina 50x8u;;;;taxable;;1;;;0;0;;;;;1;;;2390;Perfumeria;;;;;;;;;;;;0
3764;simple;255;LENT. Toalla Doncella nocturna 50x8u;1;0;visible;LENT. Toalla Doncella nocturna 50x8u;;;;taxable;;1;;;0;0;;;;;1;;;2860;Perfumeria;;;;;;;;;;;;0
3765;simple;256;Trapo Piso ECONO x120;1;0;visible;Trapo Piso ECONO x120;;;;taxable;;1;;;0;0;;;;;1;;;4800;Limpieza;;;;;;;;;;;;0
3766;simple;260;Trapo piso Vistex super paño x12;1;0;visible;Trapo piso Vistex super pa?o x12;;;;taxable;;1;;;0;0;;;;;1;;;1200;Textil;;;;;;;;;;;;0
3767;simple;262;Trapo piso Vistex frizado 58x68;1;0;visible;Trapo piso Vistex frizado 58x68;;;;taxable;;1;;;0;0;;;;;1;;;558;Textil;;;;;;;;;;;;0
3768;simple;263;Trapo piso Vistex normal 48x58 x12;1;0;visible;Trapo piso Vistex normal 48x58 x12;;;;taxable;;1;;;0;0;;;;;1;;;750;Textil;;;;;;;;;;;;0
3769;simple;264;Trapo piso Vistex normal 58x68 x12;1;0;visible;Trapo piso Vistex normal 58x68 x12;;;;taxable;;1;;;0;0;;;;;1;;;1000;Textil;;;;;;;;;;;;0
3770;simple;265;Trapo piso Vistex liviano x12;1;0;visible;Trapo piso Vistex liviano x12;;;;taxable;;1;;;0;0;;;;;1;;;670;Textil;;;;;;;;;;;;0
3771;simple;268;Indutex Trapo piso clasico bco. x12;1;0;visible;Indutex Trapo piso clasico bco. x12;;;;taxable;;1;;;0;0;;;;;1;;;950;Textil;;;;;;;;;;;;0
3772;simple;269;Indutex Trapo piso rayado clasico x12;1;0;visible;Indutex Trapo piso rayado clasico x12;;;;taxable;;1;;;0;0;;;;;1;;;1000;Textil;;;;;;;;;;;;0
3773;simple;270;Indutex Trapo piso consorcio bco.x12;1;0;visible;Indutex Trapo piso consorcio bco.x12;;;;taxable;;1;;;0;0;;;;;1;;;1400;Textil;;;;;;;;;;;;0
3774;simple;271;Indutex Trapo piso rayado consorcio x12;1;0;visible;Indutex Trapo piso rayado consorcio x12;;;;taxable;;1;;;0;0;;;;;1;;;1400;Textil;;;;;;;;;;;;0
